,Class,RPSSM1,RPSSM2,RPSSM3,RPSSM4,RPSSM5,RPSSM6,RPSSM7,RPSSM8,RPSSM9,RPSSM10,RPSSM11,RPSSM12,RPSSM13,RPSSM14,RPSSM15,RPSSM16,RPSSM17,RPSSM18,RPSSM19,RPSSM20,RPSSM21,RPSSM22,RPSSM23,RPSSM24,RPSSM25,RPSSM26,RPSSM27,RPSSM28,RPSSM29,RPSSM30,RPSSM31,RPSSM32,RPSSM33,RPSSM34,RPSSM35,RPSSM36,RPSSM37,RPSSM38,RPSSM39,RPSSM40,RPSSM41,RPSSM42,RPSSM43,RPSSM44,RPSSM45,RPSSM46,RPSSM47,RPSSM48,RPSSM49,RPSSM50,RPSSM51,RPSSM52,RPSSM53,RPSSM54,RPSSM55,RPSSM56,RPSSM57,RPSSM58,RPSSM59,RPSSM60,RPSSM61,RPSSM62,RPSSM63,RPSSM64,RPSSM65,RPSSM66,RPSSM67,RPSSM68,RPSSM69,RPSSM70,RPSSM71,RPSSM72,RPSSM73,RPSSM74,RPSSM75,RPSSM76,RPSSM77,RPSSM78,RPSSM79,RPSSM80,RPSSM81,RPSSM82,RPSSM83,RPSSM84,RPSSM85,RPSSM86,RPSSM87,RPSSM88,RPSSM89,RPSSM90,RPSSM91,RPSSM92,RPSSM93,RPSSM94,RPSSM95,RPSSM96,RPSSM97,RPSSM98,RPSSM99,RPSSM100,RPSSM101,RPSSM102,RPSSM103,RPSSM104,RPSSM105,RPSSM106,RPSSM107,RPSSM108,RPSSM109,RPSSM110
0,0,2.840764331,3.639419674,4.499026893,3.370134466,3.415428167,3.891542817,3.370974876,3.29547063,4.954706299,3.6017339,3.877742392,3.506369427,4.128980892,2.480360934,3.084394904,3.399150743,3.271894904,4.267515924,5.006369427,3.925159236,4.696611819,4.140525478,4.605493631,3.138933121,3.891321656,4.157510616,4.122611465,5.013136943,5.623009554,4.771098726,3.428167021,2.570063694,3.35111465,1.245576787,2.498938429,2.17462845,2.176353503,4.033970276,3.51910828,3.680997877,3.530608634,3.357484076,4.169585987,2.402866242,3.145700637,3.045647558,2.70183121,4.423566879,4.78343949,4.052547771,3.735491861,3.240622788,4.162331918,2.340587403,3.107395612,2.834748762,2.612305379,4.924805379,4.977883935,4.152512385,3.703246638,3.244028662,4.118232484,2.254378981,2.739251592,2.510217622,2.302547771,4.46616242,4.92316879,3.985270701,3.044409059,4.350318471,5.021496815,4.178874735,4.613057325,4.883227176,4.749601911,3.800955414,5.116242038,4.366242038,4.881988677,4.877388535,6.075636943,3.775477707,4.969745223,4.910828025,4.644506369,4.638535032,5.186305732,5.391719745,3.541224345,4.113057325,4.983280255,3.758492569,4.055732484,3.777070064,3.90406051,4.329617834,5.272292994,4.066878981,3.048022172,3.599637188,4.96239355,1.230834523,3.27292517,3.373258307,2.978372386,3.620519022,5.858866213,4.476734694
1,0,5.004483431,5.073245614,5.71871345,4.888693957,5.753654971,4.761793372,4.826900585,6.54619883,8.021637427,6.373684211,4.829385965,3.674561404,4.348684211,4.458040936,6.205263158,4.521588694,5.032017544,4.725877193,7.25745614,5.443421053,5.39005848,3.972368421,4.312280702,4.750292398,6.519736842,5.061793372,5.443859649,6.087719298,8.001754386,6.210526316,5.394346979,4.848294347,5.470955166,2.259064327,3.139230019,3.111500975,3.798440546,6.337621832,3.926510721,4.792007797,7.319005848,6.361842105,7.243859649,3.652923977,4.659210526,4.413547758,5.059649123,8.009649123,4.485087719,5.985087719,4.86374269,4.779288499,5.697270955,3.259454191,4.234551657,3.553996101,4.213060429,5.906042885,4.401364522,4.650487329,4.59371345,4.165789474,4.784649123,3.788450292,5.011403509,4.919249513,5.001315789,5.169736842,5.843421053,5.327631579,5.971345029,4.450438596,6.114035088,6.507017544,7.695175439,6.131384016,6.278947368,4.824561404,8.296491228,5.692982456,7.411695906,7.16622807,8.301754386,3.828070175,5.075877193,5.269980507,5.801754386,8.029824561,4.129824561,6.649122807,6.692397661,5.660964912,6.689473684,5.330994152,5.684649123,5.108576998,5.768421053,5.243859649,5.726315789,4.796491228,6.637912204,4.447112328,6.158458238,2.656920197,5.264743997,3.606718068,3.858073744,5.30785124,7.636314734,6.266480023
2,0,5.211494253,5.836063218,6.030316092,4.564176245,4.918821839,5.269157088,5.555028736,5.206321839,6.316091954,7.627011494,5.183955939,5.189655172,5.317241379,4.096982759,5.148275862,5.370545977,5.725,5.305603448,7.293534483,7.986637931,5.519588123,5.512931034,5.61637931,4.306178161,5.353448276,5.254454023,5.715517241,5.540086207,7.598706897,7.60387931,3.679501916,3.533189655,4.018247126,2.182375479,2.939511494,3.737164751,3.83433908,4.196551724,5.106321839,5.675862069,4.853065134,4.729741379,5.055603448,3.287356322,3.791810345,4.546551724,4.374568966,5.25862069,5.963793103,6.665517241,5.564367816,5.228400383,5.680124521,3.599425287,3.993917625,4.112452107,4.439894636,5.942337165,5.953256705,6.217049808,6.082950192,5.520258621,5.941810345,3.679310345,4.608189655,4.505172414,4.416810345,6.510344828,6.934482759,7.131034483,4.184099617,5.669396552,5.676293103,4.502298851,4.893534483,5.467816092,5.95387931,3.862068966,6.40862069,7.344827586,5.728927203,6.657327586,6.559051724,5.163218391,5.80387931,6.66091954,7.057327586,5.348275862,6.832758621,7.106896552,7.520881226,8.081465517,7.97112069,5.649425287,6.114224138,5.844827586,6.784913793,7.251724138,6.725862069,6.34137931,5.710657907,5.631859567,5.922680412,2.594185499,4.663236145,5.754752804,6.067045736,5.654326236,8.027585881,9.959495046
3,0,3.306435395,6.316176471,4.664027149,4.761689291,4.200414781,7.542986425,7.493778281,3.436651584,3.311463047,3.285822021,6.17515083,5.943438914,5.755090498,3.255593263,3.404977376,4.648001508,4.899321267,7.904411765,4.15780543,6.619343891,4.789027149,5.769230769,4.988122172,3.472033685,3.133484163,5.086915535,5.382352941,5.816176471,3.497171946,4.72341629,4.614630468,3.183446456,3.348039216,1.592760181,2.011877828,3.403217697,3.206447964,6.768476621,3.483408748,5.068627451,4.133861237,3.505090498,3.326923077,2.107968829,2.466628959,4.464932127,4.221153846,5.792986425,3.446832579,4.397058824,7.557315234,4.522310206,5.628079437,3.509803922,4.633547009,5.739064857,5.28814731,9.9942182,6.876571141,8.528154852,6.869343891,4.081447964,4.792420814,3.384929613,4.529411765,5.935708899,5.211538462,9.568438914,6.572963801,8.518665158,3.62066365,7.768665158,5.75,6.869281046,5.815045249,10.06334842,9.910067873,2.898190045,4.061085973,2.884615385,3.422322775,4.927036199,3.924208145,3.514077426,3.091063348,6.328054299,5.82861991,4.321266968,2.977375566,2.773755656,3.113122172,6.196266968,4.381221719,5.307440925,4.765271493,8.66892911,8.801470588,2.904977376,3.180995475,1.891402715,3.577550524,5.184928171,4.674422734,1.787679571,2.969442415,5.278837396,4.917808011,3.437160133,3.63493223,2.82850418
4,0,11.03829558,9.806364617,12.57375944,8.456850054,9.38969795,8.982200647,10.19107335,8.497303128,14.41316073,9.683387271,12.68662352,9.941747573,12.5618932,8.428802589,10.05339806,8.853829558,10.88228155,11.49029126,13.89320388,11.48543689,14.09762675,11.60436893,13.27063107,10.85113269,11.24271845,11.66289105,12.91383495,10.99514563,17.31067961,13.37378641,8.861380798,7.30798274,9.450782093,4.545307443,7.030474649,6.494606257,7.055151025,9.565264293,9.348435814,10.55717368,10.43824164,9.143203884,10.76820388,7.382686084,9.368932039,9.830366775,11.00606796,10.88592233,12.58009709,12.75970874,10.39967638,10.3613808,12.27602481,7.265911543,9.22626753,8.812837109,10.29786947,12.78856526,12.10571737,13.05555556,12.66235167,11.6092233,13.40898058,6.457928803,8.946601942,9.261596548,10.73907767,13.04854369,11.59223301,13.38349515,9.456850054,10.50970874,13.08131068,8.613268608,8.303398058,9.908845739,10.17597087,6.038834951,12.91262136,9.694174757,11.5798274,13.8592233,16.71723301,10.37702265,12.33737864,13.58522114,13.28276699,14.52427184,13.39805825,14.75242718,10.09924488,12.44174757,13.55218447,10.54368932,10.52669903,10.66774542,12.13228155,11.03398058,13.17961165,11.31067961,10.9724585,12.49960706,14.24963018,6.420929898,9.343472633,11.3966038,11.76643399,8.079049556,17.47919749,14.11057692
5,0,4.141509434,4.055345912,4.287106918,3.253249476,3.053616352,4.258490566,4.68490566,2.661006289,3.67672956,3.543396226,4.380712788,3.619811321,3.852830189,2.13836478,2.389150943,3.10230608,3.395283019,2.856603774,3.432075472,2.950943396,4.59942348,3.851415094,4.151415094,2.445754717,2.64245283,3.270073375,3.615566038,2.958962264,3.681603774,3.198584906,3.257232704,2.301467505,2.698008386,1.528721174,1.962002096,2.426205451,2.700838574,2.981341719,3.3278826,2.877568134,3.104140461,2.552358491,2.847641509,1.969339623,2.394339623,3.195545073,3.494811321,2.878773585,3.58254717,3.120283019,3.973375262,3.20230608,3.492557652,2.632285115,3.235167715,4.078616352,4.282180294,4.082809224,4.462054507,3.946331237,4.770649895,3.403773585,3.777358491,2.714465409,3.671226415,4.217400419,4.390566038,4.488679245,4.841509434,4.567924528,2.811530398,2.920754717,3.153773585,2.870440252,2.793867925,3.897903564,4.39245283,1.235849057,2.867924528,2.147169811,3.475681342,3.179245283,3.400943396,3.438993711,3.812735849,4.658909853,5.318867925,2.813207547,4.377358491,3.683018868,3.659958071,3.48490566,3.638679245,2.696226415,2.824056604,3.646960168,4.288679245,2.196226415,3.288679245,2.367924528,3.939474312,3.255639098,3.698852394,1.341230583,2.188637713,3.376343427,3.963465996,1.145118435,4.007010006,2.853920516
6,0,2.636621315,4.29010771,4.508219955,4.292517007,4.220804989,4.368197279,3.904478458,3.446995465,7.081349206,5.1638322,3.847647392,3.875,4.257653061,3.234268707,3.978316327,3.717828798,3.616071429,4.725765306,7.233418367,6.131377551,4.786635488,4.705994898,4.524872449,2.896045918,3.948341837,3.792020975,3.897321429,5.367984694,6.84247449,6.367984694,4.561507937,3.504676871,3.703231293,1.37329932,2.485544218,2.473922902,2.994047619,5.31122449,3.780612245,4.31207483,4.11656746,3.823341837,4.142219388,2.59587585,3.024872449,3.273313492,3.47130102,5.054209184,4.972576531,4.523596939,4.00255102,3.75212585,4.168367347,2.426020408,2.81547619,3.071995465,3.449829932,4.926870748,4.472789116,4.419217687,3.859126984,3.334183673,3.850765306,2.948129252,3.411989796,3.78968254,3.672193878,4.900510204,5.658163265,4.767857143,3.759637188,5.039540816,5.308673469,5.156462585,5.066326531,4.60515873,4.818877551,3.977040816,7.798469388,4.979591837,7.227324263,6.383928571,6.517857143,4.457482993,5.022959184,4.844954649,5.81377551,7.528061224,6.49744898,6.06122449,4.952664399,5.802295918,6.37244898,4.720238095,4.640306122,4.219954649,5.022959184,5.816326531,6.68877551,4.670918367,3.507737323,4.85022804,5.204076374,1.361053135,3.189208689,2.880574666,3.200855472,4.778221547,7.376381767,5.841789276
7,0,1.963322546,3.183117584,3.786677454,2.690938511,2.527373247,4.076591154,3.142259978,1.544768069,2.031823085,2.814994606,3.335625674,3.493932039,4.120145631,2.062162891,2.752427184,3.528182309,2.941747573,3.001213592,3.379854369,3.132281553,4.091289105,4.421116505,5.151699029,2.81135383,3.077669903,3.732065804,3.558252427,3.787621359,3.845873786,3.612864078,2.879719525,2.23004315,2.814185545,1.371089536,1.998247033,2.597087379,1.991774542,2.857065804,3.415318231,2.806903991,2.143878101,2.14684466,2.809466019,2.014428263,2.611650485,3.797599784,2.900485437,2.134708738,2.809466019,3.275485437,3.765911543,3.103829558,3.919363538,2.660733549,3.495010787,4.01618123,3.431903991,3.988133765,4.491370011,4.478425027,2.831984898,2.449029126,3.327669903,2.142664509,2.884708738,3.82227616,2.833737864,3.055825243,3.876213592,3.968446602,1.709816613,3.128640777,3.672330097,2.711434736,2.294902913,3.971952535,3.125,1.252427184,2.04368932,2.354368932,2.272923409,3.468446602,4.254854369,3.261596548,2.416262136,4.17583603,3.493932039,2.116504854,2.393203884,3.072815534,3.020496224,3.565533981,3.871359223,2.992988134,2.794902913,4.272923409,3.576456311,2.776699029,3.665048544,3.674757282,1.818006246,3.317307692,4.571005917,1.217116617,2.182669194,3.647179076,2.780672152,1.182599852,2.674556213,3.630085059
8,0,5.576098607,6.166488031,6.264826724,4.378706681,5.141970347,6.446230797,6.206011075,5.366916756,5.970882458,6.612897463,6.643578064,5.834807074,5.94573955,3.748258307,5.389871383,6.186271883,5.819131833,6.260048232,6.835610932,7.9835209,6.526482672,6.211012862,6.051045016,3.905010718,5.442926045,6.31998035,6.160771704,6.458601286,6.61937299,7.63062701,3.975526974,3.877098964,4.04939264,1.951411218,3.547115041,4.132547338,3.945560915,5.52768846,4.832618792,5.768310111,4.639826724,4.637861736,5.169212219,3.458869239,4.542604502,5.274160414,5.128617363,6.277733119,5.547829582,6.197347267,5.032868882,5.155591283,5.495623437,4.020185781,5.588737049,5.827259736,6.04827617,7.442836727,6.910682387,7.082172204,5.680823508,5.216639871,5.594453376,3.682073955,5.266881029,5.729948196,5.710610932,7.313906752,6.479501608,7.659565916,5.932833155,6.95659164,7.131028939,5.154876742,5.403135048,6.640050018,6.284967846,5.461414791,6.109324759,6.389067524,5.530367989,6.204180064,5.881832797,4.729903537,6.002813505,6.67702751,6.53255627,6.697749196,5.779742765,6.175241158,6.421579135,8.223472669,7.745176849,5.741157556,6.565514469,7.314219364,7.661173633,7.844051447,6.337620579,4.797427653,6.131871393,5.589979865,5.674422666,2.077734632,5.091569588,6.286635255,5.910233296,7.195502548,6.613412229,7.930925378
9,0,6.370580808,6.878314394,7.856218434,6.951388889,4.848169192,5.517887205,6.641256313,4.701388889,7.705176768,10.43371212,6.765572391,6.01467803,7.228693182,5.501473064,5.663825758,5.55513468,6.366950758,5.78030303,7.789772727,9.882575758,7.330281987,6.276041667,7.345170455,4.999263468,5.410984848,4.837647306,5.489109848,5.978219697,7.510416667,9.127840909,6.045664983,5.509837963,5.597590488,2.684553872,4.501788721,4.059132997,4.334017256,5.62773569,5.900462963,7.48253367,5.00831229,5.471117424,5.498579545,4.609743266,4.696969697,5.047243266,5.878314394,4.451704545,7.271780303,8.033143939,5.331439394,5.419981061,5.656723485,4.184974747,4.602588384,4.820496633,5.835700758,4.984217172,7.453914141,7.534722222,5.584069865,6.552556818,6.774147727,5.092066498,5.052083333,5.463909933,6.35842803,6.211174242,7.495265152,9.029356061,4.903829966,5.461647727,5.978693182,5.948442761,4.928977273,5.062079125,6.026988636,2.395833333,6.672348485,8.759469697,8.71506734,8.187026515,8.181344697,6.211700337,7.400568182,7.353114478,7.992897727,6.647727273,9.003787879,9.431818182,7.882996633,8.620738636,8.813920455,6.18013468,6.78125,6.403619529,6.778882576,7.454545455,8.359848485,8.416666667,6.950933903,6.848843005,7.868971164,4.26191369,5.264343183,5.79595111,7.02240655,3.540562478,10.61197579,13.25377002
