,Class,SSA1,SSA2,SSA3,SSA4,SSA5,SSA6,SSA7,SSA8,SSA9,SSA10,SSA11,SSA12,SSA13,SSA14,SSA15,SSA16,SSA17,SSA18,SSA19,SSA20,SSA21,SSA22,SSA23,SSA24,SSA25,SSA26,SSA27,SSA28,SSA29,SSA30,SSA31,SSA32,SSA33,SSA34,SSA35,SSA36,SSA37,SSA38,SSA39,SSA40,SSA41,SSA42,SSA43,SSA44,SSA45,SSA46,SSA47,SSA48,SSA49,SSA50,SSA51,SSA52,SSA53,SSA54,SSA55,SSA56,SSA57,SSA58,SSA59,SSA60,SSA61,SSA62,SSA63,SSA64,SSA65,SSA66,SSA67,SSA68,SSA69,SSA70,SSA71,SSA72,SSA73,SSA74,SSA75,SSA76,SSA77,SSA78,SSA79,SSA80,SSA81,SSA82,SSA83,SSA84,SSA85,SSA86,SSA87,SSA88,SSA89,SSA90,SSA91,SSA92,SSA93,SSA94,SSA95,SSA96,SSA97,SSA98,SSA99,SSA100,SSA101,SSA102,SSA103,SSA104,SSA105,SSA106,SSA107,SSA108,SSA109,SSA110,SSA111,SSA112,SSA113,SSA114,SSA115,SSA116,SSA117,SSA118,SSA119,SSA120,SSA121
0,1,0.06410257,0.06410257,0.102564104,0.025641026,0.0,0.012820513,0.08974359,0.08974359,0.012820513,0.06410257,0.06410257,0.06410257,0.03846154,0.03846154,0.025641026,0.08974359,0.025641026,0.012820513,0.051282052,0.06410257,0,0.8787924,-0.3511025,-1.492705,1.0128788,-0.5235829,-1.2135836,-0.2692141,-0.828456,-1.1428556,1.2840773,0.21365647,-1.026312,0.5217074,-0.23387215,0.6657976,-0.9023753,0.7306172,-0.12990731,0.8829021,0.18090454,3.4414356,-0.49797034,0.45819405,1.4118961,0.63307476,0.46415544,-0.15625235,-0.23928878,-0.87955546,-0.11791803,1.6369029,0.8784285,-0.9800491,0.5308496,-0.8201833,-0.31349614,-0.14521548,1.2934045,0.57295054,-0.05776343,-0.21417385,-0.20591617,0.41827935,0.24985005,1.1274445,-0.3850515,2.0251253,0.27434966,-0.5010238,-1.1775136,-0.14149293,-0.8280093,-0.02606729,0.1344576,-0.4871334,0.043869086,0.035815947,-0.15058574,-1.475468,-0.015762432,0.090654105,1.1535443,-0.9867425,0.9220497,-0.63529766,-0.9946394,0.6130313,0.18145104,-0.37271398,-0.6321927,-0.81050014,0.52538115,0.10359243,-0.19199151,-0.07919271,-0.77553385,-0.9861869,0.2926456,0.63788706,0.006971142,-0.16435254,-0.596291,0.22548565,-0.39370838,0.80959433,-0.29752144,4.216586,1.1830461,0.7086706,0.28059694,1.3557029,-0.5203669,0.20039687,0.47511917,-0.575008,-0.2748549,0.032848496,-0.024697384,-0.6773788,1.4652125
1,1,0.12,0.049999997,0.04,0.06,0.02,0.03,0.08,0.11,0.03,0.06,0.06,0.049999997,0.04,0.01,0.02,0.02,0.049999997,0.03,0.049999997,0.07,0,1.777337,-0.8659808,-1.3430557,1.1536249,-0.61459535,-1.3429077,-0.32088444,-1.2423687,-1.6635407,1.9980534,0.8237716,-0.63614464,0.2987269,-1.2302244,0.634143,-1.7009752,2.4085634,-0.020119779,1.7232094,0.3240676,3.746662,0.22938997,-0.23943914,1.8226281,0.72725433,0.9935386,-0.010361507,-0.09487005,-1.0367515,-0.002430612,1.6473113,0.883559,-2.0755606,0.85604596,-1.806179,-0.20656078,-0.06039576,1.4631022,1.2593706,-0.4872848,-1.1488658,-0.42022705,1.0516466,0.25517243,2.3952713,-0.6302421,2.5442154,0.8175317,-1.2134433,-0.92895234,-0.43830204,-1.406669,-0.49269968,0.10428745,-0.68960416,0.7793556,-0.18641222,-0.22057517,-1.4399073,0.3565203,-0.10626847,1.845923,-1.9374113,1.4022274,-0.42375973,-1.0898203,1.3948718,0.5057606,-0.36366612,-1.0630653,-1.0561566,0.49983346,0.1180778,-0.56165636,-0.3559238,-0.8834671,-1.7566993,-0.017726453,0.25514764,-0.6116601,-0.9633382,-1.0354977,-0.09897242,-0.28216067,0.8333949,-0.27159575,4.369246,1.7930583,1.2053388,0.5215441,1.4206744,-0.2999481,0.59206545,0.12705496,-1.7596666,-0.4568753,0.035682254,-0.032525368,-0.8126775,1.9320984
2,1,0.11392406,0.07594937,0.050632913,0.025316456,0.0,0.025316456,0.06329114,0.088607594,0.0,0.025316456,0.037974685,0.050632913,0.07594937,0.012658228,0.07594937,0.06329114,0.050632913,0.012658228,0.025316456,0.12658228,0,0.80783904,-0.69567853,-1.9759665,1.1001387,-0.39941227,-1.5050299,0.05215201,-1.5888094,-1.1525949,1.5024223,0.6029661,-0.5697252,-0.4583819,-0.5354943,1.2147866,-1.4207313,0.6528878,-0.08106721,0.68746257,0.3935778,3.396044,-0.36696804,0.46205783,1.6845082,0.5684281,0.52922106,-0.15675944,-0.36126614,-0.8913315,-0.004192819,1.0972573,1.2369779,-0.312609,0.7968357,-0.9874272,-0.43044204,-0.65801936,1.6718014,0.4915193,-0.26109096,-1.6423678,-1.1888113,0.36407825,0.5793015,1.4360942,-1.0021417,2.059738,0.45834514,-0.74551785,-0.4836394,0.58295923,-1.0058007,0.63695055,0.20842555,-0.6681625,0.29676676,0.6463592,-0.10233201,-1.845945,-0.0767004,0.5622219,1.7898297,-1.6419717,1.1050328,-0.56961644,0.005373635,0.74251723,0.05335687,-0.3141769,-0.7370125,-0.44043443,0.39027596,-0.010682058,-0.8179868,-0.12636468,-0.6608825,-1.4146179,0.001242659,1.3231478,-0.08521525,-1.3148035,-0.25908008,0.18278356,-0.7338933,1.5377232,1.0329688,4.0337925,1.8007014,1.9523401,1.2987547,2.136789,-0.14217065,0.21124628,0.5367536,-1.454935,-0.5378753,0.09491482,-0.15062626,-0.7346506,2.0539782
3,1,0.17894737,0.0,0.03157895,0.073684216,0.010526316,0.03157895,0.11578948,0.073684216,0.010526316,0.0631579,0.08421053,0.021052632,0.03157895,0.042105265,0.0,0.073684216,0.0631579,0.010526316,0.021052632,0.0631579,0,1.5015992,-0.7119239,-1.5274775,1.013835,-0.21481189,-0.8199383,-0.005443113,-1.7758559,-1.8608892,2.4698324,0.782936,-0.6534957,-0.22572845,-0.9442164,0.38414255,-1.7086283,2.0983534,-0.37313986,1.006762,0.18081667,3.3179207,0.06861012,-0.82085913,2.052525,0.37735412,0.99613065,-0.43318284,-0.08758581,0.09679354,1.0083475,2.210675,0.3389618,-1.5220844,0.79419994,-1.9354339,-0.13681553,-0.2908242,2.0308626,0.076264895,0.6055976,-0.17538625,-1.2154634,1.0147525,0.22827534,0.581644,-1.0847207,2.3345869,0.6322978,0.27293065,-0.35009632,0.26847896,-0.44584247,0.860696,-0.07373222,-1.0722593,-0.11579945,-0.14164673,-0.047657955,-0.9837745,-0.11081322,0.10698407,0.8329391,-2.6894674,1.1714897,-0.7465123,-1.5721467,1.0746337,0.14943692,-0.35657302,-0.8329693,-0.4003366,0.89932525,0.4961791,0.38052538,0.091435745,-1.193379,0.3773936,-0.72970635,0.7053196,-0.93425584,-1.4235733,-0.47590783,0.06401445,0.6308013,-0.23251174,-0.024771784,4.2060204,0.9174953,1.0902426,0.66751176,2.3761055,0.0441742,0.85030454,-0.10800973,-1.9134548,-0.79623896,0.007355514,-0.344353,-0.5768517,0.49396706
4,1,0.10638297,0.0,0.04255319,0.08510638,0.021276595,0.053191487,0.11702127,0.031914894,0.04255319,0.07446808,0.053191487,0.09574468,0.021276595,0.04255319,0.0,0.08510638,0.04255319,0.0,0.053191487,0.031914894,0,1.0500327,1.66091,0.8812954,1.0719633,-0.5585768,2.2373111,-2.376574,1.2041283,-1.6196349,2.6480775,-0.5680747,-0.47174466,1.5265679,-1.9747221,-1.8085907,-0.8146211,2.402937,-0.47726375,2.028803,-0.017956257,3.9644403,-0.8844505,-0.52667874,0.13073795,0.66774756,1.4935465,-0.7879196,0.17592071,1.5412285,0.52120936,2.8137414,-0.053176146,-2.5941625,-0.45089018,-0.7714353,2.1405878,0.68411416,1.2403643,-1.2368952,-1.2246819,1.5637032,1.5256604,0.9369181,-0.05709097,2.876629,2.3119245,3.118571,-1.3514773,0.47292987,-2.4572668,-1.4508611,0.43492398,0.31537107,0.008801105,-1.1058868,3.1389322,0.19834194,0.100040704,1.5793589,0.6571059,-0.19926347,-1.392834,-1.4378785,1.1278305,0.2914662,-2.0103683,0.2835276,-0.36216885,-0.020765224,-0.94329554,0.049939916,2.3732681,-0.029435689,1.7696238,-0.2764194,-0.9861354,0.8453467,-1.8170617,-1.6397761,-1.6766555,1.2746506,-1.0539043,-0.004902618,0.71886563,-2.7723482,-0.5466361,4.98689,-1.4339753,-1.6104666,-0.8115105,1.6520815,0.5534794,0.56828,0.110300176,-2.040669,-0.23274119,-0.113709256,0.5959541,0.33889085,-1.2676567
5,1,0.105882354,0.0,0.03529412,0.08235294,0.0,0.11764706,0.05882353,0.05882353,0.023529412,0.05882353,0.12941177,0.05882353,0.047058824,0.011764706,0.023529412,0.03529412,0.047058824,0.0,0.03529412,0.07058824,0,1.3849149,1.5321512,-0.4590139,1.4923167,-0.1818716,1.2459759,-1.9571103,0.6741183,-2.3784347,2.3869636,-0.9911199,-0.44374782,1.1330025,-0.5433608,-0.72754616,-0.75057447,3.999359,-0.9365177,2.282857,0.068242036,3.7677588,-0.5295389,-0.8489314,-0.028246883,0.834657,1.7966298,-1.2857122,0.28122628,1.7751907,1.0153223,2.096928,-0.051349286,-2.0096679,-0.2205994,-2.2948701,1.7298207,1.7116123,2.559255,-0.9757003,-0.9816454,0.691537,0.548932,1.0770154,-0.55252355,2.0732296,2.0344048,3.4075274,-1.7421896,0.62051445,-1.4108412,-1.0969503,0.6222318,0.15700434,0.19363704,-1.0512502,3.3295784,0.11125693,-0.20660599,0.20441449,0.36898217,-0.7782208,-1.5116158,-2.292844,1.8005265,-0.002716985,-1.6956456,1.0344085,0.642068,-0.004417785,-1.0713493,0.003380358,1.8703707,-0.2956865,0.33743295,-0.35267556,-1.3856254,1.7752824,-2.4224524,-1.6610347,-2.4399354,1.3932941,-0.90799856,0.5338993,0.34523365,-3.1651318,0.29656082,5.1503987,-0.62274975,-2.3204715,-0.24441415,3.6345434,0.78069067,0.34614605,0.019014113,-2.9307668,-0.21622302,0.005256168,0.42181987,0.16817725,-0.9189538
6,1,0.15116279,0.023255814,0.058139533,0.08139535,0.011627907,0.069767445,0.116279066,0.046511628,0.023255814,0.10465116,0.058139533,0.023255814,0.034883723,0.058139533,0.023255814,0.058139533,0.0,0.0,0.034883723,0.023255814,0,0.6078087,1.8257982,-0.010253937,1.2777604,-0.06956257,1.7889825,-2.455615,1.2980331,-1.6837293,2.3347054,-1.1402951,0.003400134,1.0137446,-0.6262377,-1.1023124,-1.1199533,3.319354,-1.2072754,1.3457677,-0.0945653,4.1176085,-0.4542025,-0.8640864,-0.71033204,0.5854682,1.5488019,-0.97959024,0.026939364,2.0728188,1.1041147,1.7505177,-0.27112252,-2.0847015,-0.48311314,-1.7163984,2.2415445,1.4913687,1.9317074,-1.8488951,-1.0830199,1.4887191,0.9065901,0.7451981,-0.56471837,2.0812051,2.3064682,3.6660867,-2.246659,1.3090358,-1.5315727,-1.4081708,0.83222747,0.57216156,0.3608904,-1.0620834,3.6837296,0.0470027,0.169916,1.0097846,0.18521504,-0.60795856,-1.8872907,-1.8079312,1.4530735,0.28131852,-1.2882137,0.5514948,0.31130123,0.19044189,-1.0471992,0.8323161,2.0264761,-0.049820665,0.89005893,-0.19227059,-0.90836024,2.505361,-2.4117851,-1.9436471,-2.9597225,2.4047225,-0.9911252,0.3894548,0.53435963,-3.1245239,0.61251104,4.8255424,-1.4362793,-2.5276124,-0.5362131,2.9977257,0.86463225,0.39053535,0.39627218,-2.2330651,-0.5666529,-0.09541366,0.079558626,0.4974775,-1.1565884
7,1,0.11111111,0.05050505,0.02020202,0.08080808,0.01010101,0.030303031,0.04040404,0.030303031,0.02020202,0.030303031,0.11111111,0.08080808,0.030303031,0.07070707,0.02020202,0.060606062,0.05050505,0.02020202,0.08080808,0.05050505,0,1.0063478,1.978245,-0.3752832,1.1380812,-0.10693066,1.4728642,-2.2193286,0.75584644,-2.0967684,2.1568336,-0.614426,-0.45053208,0.5568106,-0.9649826,-1.4423897,-1.0642298,3.7128003,-0.9224985,1.896546,0.3767578,4.0323663,-0.2389349,-1.2056531,-0.23164275,0.4559794,1.6007456,-1.2044077,0.06308518,1.9400635,1.2280076,1.7750709,-0.31423616,-2.29024,-0.050613094,-1.7561646,1.8720372,1.1007673,2.2919204,-1.4257094,-0.599753,1.0713458,0.24002011,1.144104,-0.24573387,1.8422463,1.4627479,3.3992348,-1.7313015,1.4342587,-1.3852696,-1.0605364,0.6460947,0.40101245,0.21670282,-1.1504045,3.5123305,-0.10204325,-0.087505534,0.8991986,0.39649546,-0.75800985,-1.5080326,-2.282573,1.4094642,-0.06653507,-1.5514612,0.5223744,-0.26514545,-0.1409751,-1.1869442,0.7101044,1.9847317,0.07951802,0.48011935,-0.116972044,-1.2185673,2.825499,-2.2814648,-1.5327623,-2.3137407,1.7124788,-0.5055335,0.5347159,0.77525884,-3.067445,0.52796966,5.014583,-1.7832177,-1.4938502,-0.21386541,3.31345,0.5323654,0.34528407,-0.2237446,-2.367505,-0.49572822,0.11263674,0.03597787,0.31273282,-1.1121615
8,1,0.13483146,0.033707865,0.02247191,0.08988764,0.02247191,0.056179777,0.11235955,0.07865169,0.011235955,0.033707865,0.08988764,0.04494382,0.02247191,0.08988764,0.011235955,0.033707865,0.056179777,0.0,0.04494382,0.011235955,0,1.1841723,1.2241359,0.26408216,1.1750864,-0.09072599,1.6553985,-1.7496881,1.2792952,-1.6099697,1.8217609,-0.81088704,-0.7652809,0.8729044,-1.022711,-1.2196468,-0.8169685,2.3071272,-1.0055971,1.4111687,-0.012711142,3.68549,-0.68749946,-0.6437012,-0.46897468,0.6978239,1.5354161,-0.74947625,-0.052317105,2.5454917,0.9130656,2.0290158,-0.11999298,-1.2035832,-0.42917332,-1.1947017,1.9565518,0.38651228,1.1942556,-1.9100659,-0.438851,1.4094787,0.8911127,0.17700745,-0.44504702,1.4275533,1.8384917,2.9759185,-1.3315003,1.525873,-1.5000371,0.16393663,0.31102392,1.2291871,-0.10218816,-0.8254228,2.1958501,-0.16095988,-0.11671756,1.5390316,0.009102133,0.053893145,-2.2932365,-2.3202217,1.6160015,-0.093985625,-1.1031286,0.50950694,-0.27292863,-0.25933033,-1.2374929,0.3515479,1.1033183,-0.30701172,1.8348334,-0.115624115,-1.0631499,1.8475286,-2.116507,-0.9405101,-1.7001854,1.0506686,-0.91754377,0.17635332,0.54593015,-3.1529675,-0.061413992,4.623492,-2.3955314,-2.3456895,-0.36341757,2.350515,0.05719607,0.5507699,0.17499413,-2.5983086,-0.5790194,0.016777337,0.081443585,0.6006132,-2.176522
9,1,0.14736843,0.010526316,0.094736844,0.094736844,0.0,0.021052632,0.094736844,0.03157895,0.021052632,0.05263158,0.073684216,0.042105265,0.021052632,0.05263158,0.0,0.0631579,0.05263158,0.021052632,0.042105265,0.0631579,0,1.1674409,0.8588647,-0.20205761,1.2290758,-0.17811716,1.4800076,-1.941197,0.19506684,-1.9735521,2.156668,-0.3364927,-0.579085,1.3185441,-1.418915,-0.7959964,-1.116521,2.5778189,-0.3877563,1.8088919,0.32780287,3.7646856,-0.31010687,-1.0004624,0.9309207,0.7081894,1.143597,-0.5690285,0.094427794,0.8887363,0.40024808,2.4538913,0.10126034,-1.6702209,0.2978076,-1.2403613,1.2492839,0.7421594,1.5848762,-0.84094626,-1.03894,0.8829944,1.0307119,1.0558888,-0.20536728,2.4271152,1.8295951,3.159359,-0.7745414,0.24334268,-1.858234,-0.6508026,0.14503159,-0.01353299,-0.260742,-1.000418,2.592358,0.27431318,0.051100854,0.3631261,0.33728078,-0.40961495,-0.94536763,-1.9508629,1.3802118,-0.11795994,-1.7808905,0.5830557,0.31683668,-0.10688226,-0.8215294,-0.47347927,2.0570152,-0.19578782,0.62902933,-0.22021244,-1.2216814,0.21625546,-1.6632942,-1.4198592,-2.1628773,0.60331506,-0.8315067,0.26893333,0.50596225,-2.2274022,-0.44809622,4.5795417,0.23392595,-1.3271911,-0.19992046,2.6582954,0.5144036,0.24294834,0.29774433,-2.1653078,0.20513041,0.019533895,0.118095234,-0.37126347,0.23007376
